"","CellLineName","H3K4me0","H3K4me1","H3K4me2","H3K4ac1","H3K56me0","H3K56me1","H3K79me0","H3K79me1","H3K79me2","H3K9me0","H3K9me1","H3K9me2","H3K9me3","H3K27me0","H3K27me1","H3K27me2","H3K27me3","H3K36me0","H3K36me1","H3K36me2","H3K36me3","H3K9ac1","H3K14ac0","H3K14ac1","H3K18ac0","H3K18ac1","H3K23ac0","H3K23ac1","H3K23ub1","H3K27ac1"
"ACH-000523","NCIH1184_LUNG",-0.230316079,-0.286837353,-0.530605223,0.187882723,-0.038307656,NA,-0.149660109,-0.391326605,-1.398210221,-0.1440087015,0.375612766,0.3292411035,0.0234655035,-0.308006439,-0.05607104125,0.138289528333333,-0.024472429,-0.333586390666667,0.2724510966,-0.10291454575,-0.50619108,-0.3591506495,-0.0676089386,0.1576729474,NA,-0.1552310335,-0.2515790695,0.298503923,NA,-0.29277541275
"ACH-000691","HCC2157_BREAST",-0.206078025,-0.552738412,-0.371802223,-0.014962529,-0.150500923,0.169238349,0.102802528,0.343326636,0.929024858,0.0316727895,-0.124289527,-0.329645065,0.1296624915,-0.3733422766,0.110484378,-0.448688297333333,-1.979886565,-1.26094798383333,-0.1914878406,-0.06708734125,-0.826797260666667,-0.592418611,0.047351733,-0.4013589018,0.0294196066666667,-0.6099311365,-0.1783431295,-0.708787637,0.64265808,-1.13531409
"ACH-000424","TC71_BONE",0.067038251,0.021498349,-0.161586627,-3.473744722,-0.05319743,-10.0244384,-0.261478587,-0.843613063,-3.517417418,-0.4296399315,-0.472539684,0.3019026285,0.3028933105,-0.0622188304,0.17883823275,-0.0697388676666667,-0.5481279545,-0.198392772333333,-0.106257458,0.3388229415,-0.201771469,0.7908929615,-0.5051016676,0.7025053816,-2.12298971733333,0.830802662,0.177575089,0.809979916,-6.682473838,-0.017613208
"ACH-000610","NCIH2227_LUNG",0.047333622,0.49801934,0.600296584,0.153607828,0.073048936,NA,0.230717187,0.083038419,-0.372255802,-0.155324652,-0.500686337,-0.046986928,0.716030444,0.7212507706,0.46832130925,-0.194009544666667,-0.4937182895,0.3650332605,0.119657343,0.61611703475,0.582143222333333,0.001795885,0.2729951032,-0.2670637384,NA,0.39858353,0.22736902,0.1913426745,NA,0.77232755175
"ACH-000420","SNU449_LIVER",0.146282836,0.135028666,0.207874341,0.302431785,0.161485074,NA,0.048608839,0.534299558,1.063612955,-0.433617793,-0.2172972305,0.565833353,0.832455953,-0.037350492,-0.058860933,0.0853998883333333,0.82284465,0.224849995333333,-0.0398897764,0.0675494775,-0.027064833,-0.353239374,0.1026436196,0.0550103438,NA,-0.0109855165,0.024337389,0.214065889,NA,-0.035259568
"ACH-000648","NCIH28_PLEURA",-0.023125373,0.106824759,-0.19631227,0.299748018,-0.05663974,NA,-0.111589802,-0.110250357,0.112367844,-0.1359102415,0.178939385,0.2222616765,0.2355423735,0.0626421914,-0.209353816,-0.044576835,0.101425063,-0.378909770166667,0.4429203542,0.3020446165,0.524155960666667,0.4180880655,-0.2220785278,0.5896470314,NA,0.722732495,0.075998001,0.735453349,NA,0.794218546
"ACH-000091","OV56_OVARY",-0.122174538,-0.024343368,0.202083701,-1.029043767,-0.174332299,0.260027182,0.058612923,-0.058041618,0.131208676,0.1103138665,-0.070157908,-0.1669444565,0.0181675035,-0.1017449078,0.26237527025,0.126284565666667,-0.230330531,0.122301751166667,-0.0056137242,0.25223384925,0.0351211053333333,0.76116416,0.3312493314,-0.0702320652,-0.0906842983333333,0.1177579105,0.0081575395,-0.0132894155,-0.026273322,0.3402678555
"ACH-000584","JHOS4_OVARY",0.148802782,0.180520586,0.095899821,0.008534692,0.072729457,0.390911221,-0.050414469,-0.947436723,-2.860202891,0.226038094,0.1307937525,-0.3056786975,-0.1984645605,0.2464317832,0.4606860335,0.120356861666667,-0.826176938,-0.163340983,0.3101598446,0.3696238805,-0.0188432233333333,-0.013667401,0.2037188518,-0.2681103768,-0.124917777333333,-0.4415026365,-0.1894781585,-0.2297058495,-0.419390589,0.0522748545
"ACH-000865","KYSE450_OESOPHAGUS",0.105869517,-1.081520175,-0.785516634,NA,0.121165496,-0.071349351,0.080833459,0.336347188,0.74391122,-0.76328667,0.0618842115,0.5559750495,0.3238136365,-1.0688954956,-0.459878936,0.28431545,0.522016262,-0.984304547,-0.5687191192,-0.632386643,-0.00164106799999998,-0.6403459395,-0.1591627516,-0.0256211332,-0.414677697333333,-0.6594353665,-0.1484789755,-0.6014919885,-1.062961897,-1.4992195765
"ACH-000701","RMUGS_OVARY",0.253318936,0.669642039,0.083979239,0.492799565,0.136329363,0.095696271,0.051998938,-0.17029303,-0.43652464,0.682403531,0.2428421325,-0.515407292,0.068778242,0.5848532004,-0.0644841355,0.185408953333333,-0.41420931,0.391153857166667,0.5098821646,0.176697816,-0.396306347,1.1255079445,0.3258347782,0.315815045,NA,0.5728062645,0.414481545,0.309342624,NA,0.50501712225
"ACH-000293","KLE_ENDOMETRIUM",-0.73295731,0.351842735,0.256152425,-1.483163386,0.204456439,-0.307812905,-0.078139148,-0.042865639,-0.359874437,-0.5979119575,-0.734679419,-0.737948545,0.4687262,0.0721980246,-0.23207535,0.167819467666667,-0.5097751275,-0.484313766666667,-0.3773948082,-0.310297272,0.280229865333333,-0.9112335695,-0.1086309012,-0.8965880152,0.19075815,-0.9386604955,-0.401452194,-0.8089725185,1.115802884,-1.027488251
"ACH-000595","LN229_CENTRAL_NERVOUS_SYSTEM",-0.086895094,0.224612427,0.469778823,NA,0.232949022,0.482188258,-0.022692861,0.191288354,0.075936189,0.3496701115,0.0136439385,0.2862213985,0.2429556025,1.3208973284,0.54136775325,-0.333148819333333,-0.887487937,0.418453916666667,0.3338301058,0.86537101275,0.731558382333333,0.961661542,0.1841339824,0.5575270548,0.0567618326666667,0.2933270905,0.2280124115,0.114492131,0.071930594,0.960124476
"ACH-000770","P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.013862575,0.071725649,0.151650185,0.46425292,0.125549854,0.290206995,0.151505033,-0.049540603,-0.708092395,0.079725387,0.030045172,0.2753759935,0.2373138885,1.7164948216,0.20891671025,-1.34778974,-3.2381892345,0.6231876575,-0.1207256228,0.15582316675,0.420260411666667,0.6033952035,-0.1738728244,0.6642150822,0.494508998666667,0.0150969315,-0.283255294,0.5520368345,0.976157778,1.53029461825
"ACH-000505","RKN_SOFT_TISSUE",-0.294483534,-0.415074292,-0.312532695,-0.513286991,-0.264966223,NA,-0.427169554,-0.167201289,0.37351434,-0.1531502725,-0.307824381,-0.300921891,-0.6394322895,-0.6131744024,-0.09898037925,-0.0562241196666667,-0.495690122,-0.7574381895,-0.6856167638,-0.3513404515,-0.140284734,-0.128584247,-0.3597116274,-0.252253605,NA,-0.7998346205,-0.3269266895,-0.9148542075,NA,-1.294270708
"ACH-000203","NH6_AUTONOMIC_GANGLIA",0.458599544,0.615394246,0.087076225,0.865787611,0.276692325,NA,0.272789994,0.39933278,0.236566612,0.086064494,0.95537009,0.3611795425,0.194361394,0.6806862922,0.36928516525,0.27169906,0.004779828,0.12337973,0.6230075994,1.1772957965,0.824928642,1.066490017,0.1314951482,0.9338910668,NA,1.362231593,0.5037813985,1.2657984725,NA,1.33351413275
"ACH-000609","SF126_CENTRAL_NERVOUS_SYSTEM",0.186392587,0.265171639,0.483745316,0.038763836,-0.014695671,NA,0.132679522,-0.315678578,-0.74656623,0.640938994,0.165870741,-0.1653284005,-0.530928296,0.4855716738,0.241464708,-0.165711451333333,0.106783868,0.550363103333333,0.3085010216,0.3898999265,0.537848931,0.622717363,0.1496918438,0.1436163168,NA,0.7289293555,0.297053655,0.475740971,NA,1.226919911
"ACH-000774","RERFLCAD2_LUNG",-0.316810757,0.034428599,-0.478413303,-0.508833546,0.057294691,0.075243761,0.032250624,0.176699926,-0.010793584,0.2488389225,0.0667857015,0.0725579215,0.054389274,0.637992807,0.333311182,0.394046419,-0.384394683,0.466508935666667,0.1082887526,0.220357052,0.441562089333333,0.481797385,0.4934589264,-0.1237112446,-0.100339534666667,0.01526075,0.065651854,0.280499718,-0.962800248,0.15251329975
"ACH-000296","OUMS23_LARGE_INTESTINE",0.068278558,-0.203509707,-0.756570056,NA,-0.217731213,0.101068328,0.105434218,-0.517050369,-1.616150421,0.8632025085,-0.4322834645,-1.2972289275,-0.6872042605,0.6154634504,0.50079545325,-0.497847168,-0.2556214145,0.288488256,0.3974134464,-0.101042533,0.557437694,0.5379088625,0.0489945192,-0.4552366318,-0.00880662466666669,0.4399078345,0.2989551345,0.4425438385,-0.629602151,0.4776062465
"ACH-000974","SNGM_ENDOMETRIUM",0.322977806,0.048230957,-0.894601048,0.587717604,0.146432448,0.098973647,0.142463589,0.264618356,0.518427831,0.359636194,0.724982163,0.3042320545,-0.396358433,-0.5397807512,0.00244927749999999,0.397385166,0.1764262745,-0.594689260833333,0.0775142202,-0.064887482,0.0116214416666667,1.436239282,0.1661921028,0.8053004014,NA,-0.033470077,0.1036049735,0.1627623755,NA,-0.565287867
"ACH-001150","OUMS27_BONE",0.003644777,-0.171661676,-0.066685245,-0.281344158,-0.167221845,NA,-0.09088638,-0.104187843,-0.012513641,-0.027709062,0.1985689625,-0.1777587305,0.0175438605,-0.5758075408,-0.44286890125,-0.236378195666667,0.3749248985,-0.478191544,-0.6803800478,-0.594420371,-0.061831924,0.251735173,0.074979602,0.0299724794,NA,-0.596075326,-0.2610248985,-0.839193041,NA,-1.056107165
"ACH-000875","NCIH2347_LUNG",0.570851708,0.098057222,0.238379106,0.069526883,0.237799416,NA,0.203018956,-0.132980175,-0.343477484,0.1251251355,0.024016399,-0.0276859895,0.4821312585,0.0455199798,0.21058245525,-0.0208471556666667,0.318341203,0.0458434533333333,-0.0637058232,-0.3165515405,0.156910733666667,-0.266545303,0.213002648,-0.0781860478,NA,-0.648951441,-0.1463424895,-0.331353752,NA,-0.620753254
"ACH-000155","SW1990_PANCREAS",0.635107394,0.41473886,0.50157492,1.207241076,0.44618371,0.554180408,0.448052458,0.57425513,0.832960909,0.422807611,0.6933217065,0.672529217,0.4431523265,0.3937508442,0.1710337375,0.579841179666667,0.9004202915,0.541542195333333,0.4430183116,0.1212616275,-0.024980398,0.075656786,0.4187867786,0.5042002802,1.004608289,0.2840726565,0.559431013,0.2380602355,1.986987683,-0.07970081175
"ACH-000069","HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.045066711,-0.203393195,0.021240062,-0.067753726,0.005094044,0.264927586,0.011611758,0.051078826,0.396302694,0.2376303485,-0.038834689,-0.1039110925,-0.244379769,0.0577872932,-0.25558399325,-0.252533579,0.678776072,0.226613447333333,-0.3290599598,-0.45264449375,-0.0287528056666667,-0.6564097435,-0.023005404,-0.2993565742,0.389308837333333,-0.8715003875,-0.2691062025,-0.549257928,1.061653998,-0.51225185175
"ACH-000285","TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-1.29761541,-0.782600189,-0.16976663,0.178119403,0.011288324,0.190793633,0.09459348,-1.152772076,-2.179959426,-0.230154325,-0.245890582,0.3539161575,0.106809347,0.141893807,0.00927969425000001,0.239008854333333,-0.239690316,0.452919486666667,-0.0400410208,-0.32203453975,-0.635745986666667,-0.7910777225,-0.145917122,-0.176641728,1.16866724233333,-0.579507324,-0.189445256,-0.1758702595,3.07761811,-0.4155745115
"ACH-000144","RERFGC1B_STOMACH",0.095582854,0.352610706,-0.325297831,-0.039114332,-0.063377849,NA,0.020311196,-0.000796866,-0.355808628,-0.378956529,-0.11542745,-0.064621509,0.4690534505,0.0494770372,0.2135492695,0.028874092,-0.1625110975,-0.308906259,0.0154426694,0.22433008025,-0.0790848886666667,-0.7905544375,-0.127400256,-0.224802334,NA,-0.5485324445,-0.1945440695,-0.244708389,NA,-0.49483522425
"ACH-000054","HT1080_SOFT_TISSUE",0.268670029,0.368067951,0.687021419,0.138021165,-0.026871457,-0.179091791,-0.050577559,0.020663232,0.026894679,0.334099875,0.101398384,0.0892472855,0.1045236295,0.6384053354,0.7587560645,-0.0636956866666667,-0.462092593,0.194515394833333,0.6216201098,0.7574525855,1.06203693,0.296562228,0.097767984,0.2725645768,-0.977459199,0.504644384,0.199238499,0.511243849,-3.344053525,1.34483384025
"ACH-000841","NCIH2087_LUNG",0.138068435,-0.174150106,0.048138211,-0.085900675,-0.037476502,NA,0.041109521,-0.26080903,-0.302971942,0.4299544875,-0.0208184345,-0.0853107065,-0.0246927355,0.1286242128,-0.091326651,-0.0209932396666667,0.055673431,0.288538728166667,-0.0613432974,0.010387565,-0.0860230763333333,0.1285262085,0.2174365146,-0.0463729868,NA,-0.036685572,-0.0401943105,0.020717627,NA,0.2204538275
"ACH-000256","COV318_OVARY",-0.420555703,-0.513053356,-0.231055145,-0.202141006,-0.271943012,-0.286699549,-0.18214664,-0.165442504,-0.284913108,-0.3340709475,-0.357807597,-0.4433527065,-0.5909665335,-0.0239823588,-0.28640617225,-0.525851601333333,-0.2366878705,0.0180984308333333,-0.4377547346,-0.2396313125,-0.266283808666667,-0.082865214,-0.0772699062,-0.6463552932,NA,-0.4256322735,-0.4649933745,-0.324665079,NA,-0.130273184
"ACH-000451","NCIH2085_LUNG",-0.072608626,-0.139224668,-0.067663594,-0.215553416,0.034896737,NA,-0.025446051,-0.256678914,-0.764813906,-0.0917137675,-0.0524013695,-0.284074405,-0.24288679,-0.5498266812,-0.2861427185,-0.0277330283333333,0.752360348,-0.00204784550000002,-0.5535153578,-0.85562354075,-0.335522404666667,0.12812292,0.1363812078,-0.3535625726,NA,-0.867266835,-0.46526824,-0.3498413535,NA,-1.1841856425
"ACH-000871","NCIH510_LUNG",-0.492085748,-0.430196142,-0.776972439,-0.286361689,-0.481190883,NA,-0.34286481,-0.348750758,-0.528153411,0.1279139425,-0.1294450705,-0.563650688,-1.083961824,-0.1065726998,-0.18193644225,-0.411137390333333,-1.004735413,-0.4557970855,-0.3655727462,0.077984852,-1.26633971466667,-0.445213098,-0.3766303984,-0.4611122968,NA,-0.8473469955,-0.60517896,-0.5177673435,NA,-0.88655842875
"ACH-000433","CAKI1_KIDNEY",-0.17207214,0.00652235,-0.14126254,-0.796138282,-0.099165847,-0.343498246,-0.156074622,-0.036527308,-0.279633095,-0.6607277265,-0.433954617,-0.253395016,0.019386729,-0.6277401426,0.22032930175,-0.0236678473333333,-0.9965330265,-1.03133811333333,-0.5722300428,0.36370987225,-0.208822664333333,-0.444514194,-0.028236338,-0.6810455918,-1.27069584166667,-0.4126567725,-0.0686138225,-0.7174137355,-3.065345954,-0.97483857425
"ACH-000491","NCIH716_LARGE_INTESTINE",0.059534747,-0.107522773,0.330280617,-5.644003637,0.080574762,2.111756048,-0.075517023,0.316114716,0.786379553,-0.240214645,-0.5066743625,0.2383649985,0.683160638,0.1795205836,0.198748796,-0.018044125,0.0509448025,0.396329541833333,0.1816361358,-0.01831847375,0.19956513,-0.2036114535,0.0263155948,-0.0379055246,0.306890353333333,0.4868611245,0.2705163955,0.1532204055,1.046919707,0.51780602325
"ACH-000727","NCIH2066_LUNG",0.02617638,-0.439643568,-0.6813392,-0.324876591,-0.378582612,NA,-0.520539089,-0.310998709,-0.574124731,-0.467258297,-0.103845071,-0.119435998,-0.411781773,0.5682360944,-0.1493435765,-0.896078933333333,-0.836995019,-0.253042980666667,-0.1213512922,0.34231811025,-0.413322757333333,-0.077028103,-0.3570795714,-0.1146601254,NA,-0.5267712445,-0.292582017,-0.500125919,NA,0.030677624
"ACH-000129","NCIH1341_LUNG",0.116025058,0.414738393,0.043524756,0.144643518,-0.072630899,NA,-0.008803941,0.174913785,0.003684952,0.0957658275,0.048852018,0.282814303,0.0740623975,-0.4446578882,-0.14934827875,-0.070686078,0.455307684,-0.468964347666667,-0.3221639322,0.19855615525,0.280010432333333,0.870160748,-0.00522007059999999,0.5538821882,NA,0.31503977,0.138328961,0.3409542505,NA,-0.16705610175
"ACH-000298","NCIH2029_LUNG",0.170618886,0.172883489,-0.141790699,NA,0.090936824,0.006636834,-0.157594431,0.711364585,1.076676767,-0.53766845,-0.0174192795,0.383789832,-0.0253828245,-0.414365042,0.38003891125,0.0403417836666667,-0.112432858,-0.599005617833333,0.088045032,-0.00685083650000001,-0.320359188333333,0.525345773,0.2534138046,-0.1219477842,-0.418179135666667,0.1226121045,0.1438406915,0.290908789,-1.878812159,-0.871694882
"ACH-000842","SW480_LARGE_INTESTINE",0.123006084,-0.26704752,-0.38394171,-0.807173765,-0.025347814,-0.116598936,0.0510925,-0.18804518,-0.925869718,0.014703574,-0.459849637,-0.015256944,0.4671938375,-0.5335053386,-0.37021554925,0.181824405666667,0.635050767,-0.014352632,-0.1833191132,-0.85912221675,-0.454067284,0.05476626,0.0962530168,-0.0716301806,0.361563706,-0.372355007,0.0201443055,-0.408942506,1.117577505,-0.8671469845
"ACH-000616","HS746T_STOMACH",0.053573323,-1.087223605,-0.355932346,0.234524361,0.170396183,NA,-0.063960762,-0.403185081,-0.332998648,0.290782778,-0.084911189,-0.220464942,0.324704199,0.2834259148,-0.3177774515,-0.463278295,-0.0547889525,0.632069218166667,-0.2173846266,-0.666349011,-0.208480037666667,-0.4013537195,-0.0778648116,0.0413676622,NA,-0.0633424615,0.0962605695,-0.1315693315,NA,0.19201226025
"ACH-000438","LU65_LUNG",0.343285266,-0.875878445,-0.434504725,0.292478744,0.241436273,NA,0.288735259,-0.248604865,-0.905551656,0.533959228,0.279742234,0.0481433055,0.048305099,-0.5585209292,-0.150713084,0.21916466,0.2029037625,0.32324848,-0.0718233028,-0.6741199935,-0.817819739666667,0.4355358255,0.3262317124,0.2120425644,NA,0.236461726,0.244495046,0.170451079,NA,-0.3093523375
"ACH-000967","SNUC2A_LARGE_INTESTINE",0.26849093,-1.283800961,-0.477876631,-3.443024692,0.134768678,0.40446017,-0.037190256,0.3654308,0.67350084,0.1739925145,0.276973538,0.4672610645,0.430790516,0.2442988588,0.031772658,0.400658301,0.1130709265,0.1838858345,0.5456390608,0.32437957775,0.287242177666667,-0.219230698,0.0135262124,0.4383885616,0.643409033333333,0.851596801,0.5610098645,0.409516182,1.692368609,0.80351336825
"ACH-000972","HEC151_ENDOMETRIUM",-0.001856927,-0.851177082,-0.31498467,-0.020467583,0.000806943,0.219106691,-0.083051734,-0.186509933,-0.111969702,-0.095630711,0.052286637,0.2363113735,0.2128546815,0.118250121,0.02552580075,-0.358109300666667,-0.1486509805,0.766083234666667,-0.4129516458,-0.67037305375,0.195695833333333,-0.4967882065,-0.0658538854,0.0294673952,0.219508875666667,-0.1701904895,-0.1539775425,0.0759163405,0.474268052,0.27890312975
"ACH-000335","MSTO211H_PLEURA",-0.003644777,-0.454736623,0.139331054,-0.306272015,-0.188328735,NA,-0.133140629,-0.577694219,-1.10283317,-0.1656954365,-0.1004392455,-0.19464231,-0.1314142475,0.467475734,0.09029275625,-0.462687551666667,-0.5588949965,-0.00845212750000001,-0.180764868,-0.0184034515,0.0586693133333333,-0.2585040795,-0.1331399734,-0.2071381542,NA,-0.2074189545,-0.2615276165,0.0052943215,NA,-0.2612100045
"ACH-000654","RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.051013453,-0.139080109,0.091453889,-0.054850418,0.136469197,NA,0.352818642,0.019297591,0.456353336,-0.0724362995,-0.126069452,-0.070675932,-0.244718527,-0.2301118082,-0.22290721725,0.242635709333333,0.3420060235,0.442744712833333,-0.4384767128,-0.76936512375,0.0434194133333333,-0.286550352,0.0469528852,-0.3671331102,NA,-0.407474668,-0.024040842,-0.5825899895,NA,-0.46321220175
"ACH-000465","SKMEL1_SKIN",0.042392395,0.246442761,-0.066629006,0.50690011,0.040949112,NA,-0.033606691,0.485184374,0.535047645,0.4626597965,0.3251385585,0.1087817575,-0.330640816,-1.0422952326,-0.45735052175,0.0598146363333333,0.6587290735,-0.746864488333333,-0.111366164,-0.01022817125,-0.497830391333333,1.240442288,-0.0625169518,0.7850695856,NA,0.7007228655,0.151525129,1.0468572585,NA,-0.25711135375
"ACH-000953","SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.089839793,-1.332841108,-0.425511283,0.656432124,-0.202034386,-0.779372183,-0.296078208,-0.476628297,-0.969013697,0.2938241205,0.141159687,0.030096523,-0.289888729,-0.2219852298,-0.468172603,0.0360798123333333,0.204373887,-0.240190196166667,0.1529201846,0.127902064,-0.362858101666667,0.4568717865,-0.3602510072,0.6130763624,-0.230363778333333,0.330637328,-0.0130324225,0.270426059,-0.544603952,0.30303076175
"ACH-000848","JHH7_LIVER",-0.085336402,0.636965057,0.459191522,-1.424957804,-0.217582572,0.111558291,-0.177258332,-0.252757973,-0.377115096,-0.163575879,0.27515491,0.2113090995,0.0310348665,-0.0188956542,0.01206681675,-0.0174238026666667,0.1521197715,0.372374793666667,0.3103972762,0.357930366,-0.0669554693333333,0.034659906,-0.3393951988,0.49482836,0.248387288,0.774229209,0.0819634005,0.7256520105,0.67838946,1.202833267
"ACH-000905","5637_URINARY_TRACT",-1.746012122,-0.026645079,-0.561901973,-0.436196075,0.331614977,0.372513801,0.474075822,0.153230152,-0.05701479,-0.0050113,-0.032722478,0.2468285485,0.247979825,0.386919342,0.490688822,0.342347561,0.3462589,0.339138572,0.283647887,0.313274999,0.083951782,-0.2363033445,0.2947122578,-0.2064037574,0.825941324,-0.198803692,0.260553229,-0.137487159,1.834084448,-0.164721568
"ACH-000276","HCC38_BREAST",-0.364601711,-0.542922983,-0.074933618,-1.359314698,-0.374048735,-0.213168612,-0.35924327,1.305783218,-0.87969756,-0.629261507,-0.071516326,-0.260180747,-0.7197074985,-0.1488905476,-0.3049249705,-0.060565935,-0.457838144,-0.3614598895,0.0140513262,-0.0610805695,-0.192246131333333,-0.796886745,-0.4902638448,-0.5007572846,-0.146804606,-0.138264969,-0.300137817,-0.1061013495,0.095534577,0.03549083375
"ACH-000258","DU4475_BREAST",-0.08574744,-0.077174056,0.05699578,1.130132679,-0.292727108,0.056574518,0.061083162,0.217932849,0.946346541,0.290357269,0.0206312285,-0.060204555,0.005209306,-0.51400114,-0.15503672525,-0.301673285,0.691135906,-0.449677272,-0.0742576642,0.04351403825,0.085527522,1.1240495665,0.0423693252,0.5096478008,-0.379226937666667,0.5573156555,-0.3328637035,0.7219966145,-0.801315324,0.0185468525
