"","stripped_cell_line_name","CCLE_Name","alias","COSMIC_ID","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","sex","source","Achilles_n_replicates","cell_line_NNMD","culture_type","culture_medium","cas9_activity","RRID","sample_collection_site","primary_or_metastasis","disease","disease_subtype","age","Sanger_model_ID","additional_info","ISG.score"
"ACH-000017","SKBR3","SKBR3_BREAST","",NA,"breast","breast_carcinoma","ERneg_HER2pos","HER2_amp","Female","ATCC",2,-2.932250062,"Semi-adherent","McCoy's 5A; 10% FBS","27.1","CVCL_0033","pleural_effusion","Metastasis","Breast Cancer","Carcinoma",43,"SIDM00897","",2.67878947368421
"ACH-000018","T24","T24_URINARY_TRACT","",724812,"urinary_tract","bladder_carcinoma","","","Female","ATCC",2,-2.945691222,"Adherent","McCoy 5A: 90.0%","34.8","CVCL_0554","urinary_tract","Primary","Bladder Cancer","Carcinoma",81,"SIDM01184","",3.85678947368421
"ACH-000019","MCF7","MCF7_BREAST","",905946,"breast","breast_carcinoma","ERpos_HER2neg","luminal","Female","ATCC",2,-2.493675452,"Adherent","EMEM 10% FBS ;.01mg/ml Bovine Insulin","35","CVCL_0031","pleural_effusion","Metastasis","Breast Cancer","Carcinoma",69,"SIDM00148","",2.32568421052632
"ACH-000020","MHHCALL2","MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",908132,"blood","ALL","b_cell","","Female","DSMZ",NA,NA,"","","","CVCL_1409","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",15,"SIDM00331","",3.63736842105263
"ACH-000021","NCIH1693","NCIH1693_LUNG","",687802,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","ATCC",4,-3.615050928,"Adherent","RPMI; 10% FBS","14.1","CVCL_1488","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55,"SIDM00742","",3.02026315789474
"ACH-000022","PATU8988S","PATU8988S_PANCREAS","",NA,"pancreas","exocrine","exocrine_adenocarcinoma","","Female","DSMZ",2,-4.872597074,"Adherent","DMEM: 90.0%;10%FBS, 2mMGlutamax","6.3","CVCL_1846","liver","Metastasis","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",64,"SIDM00452","",2.89802631578947
"ACH-000023","PATU8988T","PATU8988T_PANCREAS","",1240201,"pancreas","exocrine","exocrine_adenocarcinoma","","Female","DSMZ",NA,NA,"","","","CVCL_1847","liver","Metastasis","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",64,"SIDM00453","",2.72992105263158
"ACH-000024","OPM2","OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",909249,"plasma_cell","multiple_myeloma","","","Female","DSMZ",2,-3.992180718,"Suspension","RPMI-1640; 10%FBS","28.1","CVCL_1625","haematopoietic_and_lymphoid_tissue","Primary","Myeloma","Multiple Myeloma",56,"SIDM00457","",2.83968421052632
"ACH-000025","CH157MN","CH157MN_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","meningioma","","","Female","Academic lab",2,-4.186946841,"Semi-adherent","DMEM; 10% FBS","7.2","CVCL_5723","central_nervous_system","","Brain Cancer","Meningioma",NA,"","",3.93513157894737
"ACH-000026","253JBV","253JBV_URINARY_TRACT","",NA,"urinary_tract","bladder_carcinoma","","","Male","KCLB",0,-1.685470537,"","","","CVCL_7937","lymph_node","Metastasis","Bladder Cancer","Carcinoma",53,"","",3.75226315789474
"ACH-000027","GOS3","GOS3_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","DSMZ",NA,NA,"","","","CVCL_2050","central_nervous_system","Primary","Brain Cancer","Glioblastoma",55,"","",4.05286842105263
"ACH-000028","KPL1","KPL1_BREAST","",NA,"breast","breast_carcinoma","ERpos_HER2neg","luminal","Female","DSMZ",3,-3.414654755,"Adherent","DMEM;10% FBS;","30.4","CVCL_2094","pleural_effusion","Metastasis","Breast Cancer","Carcinoma",50,"SIDM00147","",2.60984210526316
"ACH-000029","HCC827GR5","HCC827GR5_LUNG","HCC827 GR5",NA,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","Academic lab",2,-4.519949188,"Adherent","RPMI; 5% FBS","50.9","CVCL_V622","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,"","",3.24602631578947
"ACH-000030","PC14","PC14_LUNG","",753608,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","RIKEN",3,-5.415986691,"Adherent","RPMI; 10% FBS","8.4","CVCL_1640","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00237","",2.78247368421053
"ACH-000031","PANC0213","PANC0213_PANCREAS","",NA,"pancreas","exocrine","exocrine_adenocarcinoma","","Female","ATCC",NA,NA,"","","","CVCL_1634","pancreas","Primary","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",64,"","",3.63239473684211
"ACH-000032","MHHCALL3","MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","ALL","b_cell","","Female","DSMZ",NA,NA,"","","","CVCL_0089","bone_marrow","","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",11,"","",4.13384210526316
"ACH-000033","NCIH1819","NCIH1819_LUNG","",NA,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","Academic lab",NA,NA,"","","","CVCL_1497","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"","",2.54205263157895
"ACH-000034","PLB985","PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","PLB985, PLB-985",NA,"blood","AML","","","Female","Academic lab",NA,NA,"","","","CVCL_2162","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Myelogenous Leukemia (AML)",NA,"SIDM00811","",2.46636842105263
"ACH-000035","NCIH1650","NCIH1650_LUNG","",687800,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",2,-3.02329575,"Adherent","RPMI; 10% FBS","8.5","CVCL_1483","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27,"SIDM00745","",4.98213157894737
"ACH-000036","U343","U343_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Unknown","Academic lab",2,-3.536064024,"Adherent","DMEM; 10% FBS","17.8","CVCL_4773","central_nervous_system","","Brain Cancer","Glioblastoma",64,"","",3.16752631578947
"ACH-000037","S117","S117_THYROID","",NA,"soft_tissue","thyroid_sarcoma","","","Female","DSMZ",2,-4.075906648,"Adherent","RPMI; 10% FBS","23.6","CVCL_1674","soft_tissue","","Sarcoma","Thyroid Sarcoma",47,"SIDM00035","",2.68947368421053
"ACH-000038","EHEB","EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",906854,"lymphocyte","lymphoma_unspecified","b_cell","","Female","DSMZ",NA,NA,"","","","CVCL_1194","haematopoietic_and_lymphoid_tissue","","Lymphoma","B-cell",69,"SIDM01049","",5.94021052631579
"ACH-000039","SKNMC","SKNMC_BONE","",NA,"bone","Ewing_sarcoma","","EWS_FLI","Female","ATCC",3,-2.533280678,"Adherent","EMEM: 10%FBS","34.7","CVCL_0530","bone","Metastasis","Bone Cancer","Ewings Sarcoma",14,"SIDM00634","",2.12707894736842
"ACH-000040","U118MG","U118MG_CENTRAL_NERVOUS_SYSTEM","",687588,"central_nervous_system","glioma","astrocytoma","","Male","ATCC",2,-3.785502016,"Adherent","DMEM; 10% FBS","30.9","CVCL_0633","central_nervous_system","Primary","Brain Cancer","Astrocytoma",NA,"SIDM01193","",3.78755263157895
"ACH-000041","RDES","RDES_BONE","",NA,"bone","Ewing_sarcoma","","EWS_FLI","Male","ATCC",2,-2.731637336,"Semi-Adherent","RPMI; 15% FBS","11.7","CVCL_2169","bone","Primary","Bone Cancer","Ewings Sarcoma",19,"","",2.94292105263158
"ACH-000042","PANC0203","PANC0203_PANCREAS","",1298475,"pancreas","exocrine","exocrine_adenocarcinoma","","Female","ATCC",4,-3.349189858,"Adherent","RPMI-1640,10%FBS, 1mM sodium pyruvate","11.1","CVCL_1633","pancreas","Primary","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",70,"SIDM01139","",4.09297368421053
"ACH-000043","HS895T","HS895T_FIBROBLAST","",NA,"fibroblast","fibroblast_skin","","","Female","ATCC",NA,NA,"","","","CVCL_0993","fibroblast","Metastasis","Fibroblast","Skin",48,"","",2.72810526315789
"ACH-000044","MDAMB134VI","MDAMB134VI_BREAST","",NA,"breast","breast_ductal_carcinoma","ERpos_HER2neg","luminal","Female","ATCC",NA,NA,"","","","CVCL_0617","pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma",47,"SIDM00005","",2.75994736842105
"ACH-000045","MV411","MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MV-4-11",908156,"blood","AML","","","Male","ATCC",2,-2.880622685,"Suspension","IMDM; 10% FBS","11","CVCL_0064","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML)",10,"SIDM00657","",2.59202631578947
"ACH-000046","ACHN","ACHN_KIDNEY","",905950,"kidney","renal_cell_carcinoma","","","Male","ATCC",NA,NA,"","","","CVCL_1067","pleural_effusion","Metastasis","Kidney Cancer","Renal Cell Carcinoma",22,"SIDM00123","",3.41871052631579
"ACH-000047","GCIY","GCIY_STOMACH","",906869,"gastric","gastric_adenocarcinoma","","","Female","RIKEN",2,-5.023425823,"Adherent","MEM; 15% FBS","10.4","CVCL_1228","ascites","Metastasis","Gastric Cancer","Adenocarcinoma",NA,"SIDM00274","",3.57392105263158
"ACH-000048","TOV112D","TOV112D_OVARY","",1299070,"ovary","ovary_adenocarcinoma","endometrioid","","Female","ATCC",2,-3.090794127,"Adherent","MCDB 105:Medium 199 (1:1); 15% FBS; 1.5g/L NaHCO3","52.4","CVCL_3612","ovary","Primary","Ovarian Cancer","Adenocarcinoma, endometrioid",42,"SIDM01170","",2.49381578947368
"ACH-000049","HEKTE","HEKTE_KIDNEY","",NA,"engineered_kidney","","","","Unknown","Academic lab",NA,NA,"","","","CVCL_WS59","kidney","","Engineered","",NA,"","",2.82776315789474
"ACH-000050","NCIH929","NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",724825,"plasma_cell","multiple_myeloma","plasmacytoma","","Female","ATCC",NA,NA,"","","","CVCL_1600","pleural_effusion","Metastasis","Myeloma","Multiple Myeloma, plasmacytoma",62,"SIDM01148","",3.12413157894737
"ACH-000051","TE617T","TE617T_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","","","Female","ATCC",NA,NA,"","","","CVCL_1755","soft_tissue","Primary","Sarcoma","Rhabdomyosarcoma",1.67,"","",2.60197368421053
"ACH-000052","A673","A673_BONE","",684052,"bone","Ewing_sarcoma","","EWS_FLI","Female","ATCC",2,-2.945665017,"Adherent","DMEM; 10% FBS","32.8","CVCL_0080","soft_tissue","Primary","Bone Cancer","Ewings Sarcoma",15,"SIDM00848","",3.28394736842105
"ACH-000053","KARPAS299","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",907273,"lymphocyte","non_hodgkin_lymphoma","t_cell_ALCL","","Male","Academic lab",3,-5.376117129,"Suspension","RPMI 1640 + 2mM Glutamine + 20% FBS","44.5","CVCL_1324","haematopoietic_and_lymphoid_tissue","","Lymphoma","T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",25,"SIDM01010","",4.75176315789474
"ACH-000054","HT1080","HT1080_SOFT_TISSUE","",907064,"soft_tissue","fibrosarcoma","","","Male","ATCC",2,-3.87193508,"Adherent","EMEM; 10.0% FBS","14.1","CVCL_0317","soft_tissue","Metastasis","Sarcoma","Fibrosarcoma",35,"SIDM00828","",2.81802631578947
"ACH-000055","D283MED","D283MED_CENTRAL_NERVOUS_SYSTEM","D283",906834,"central_nervous_system","medulloblastoma","med_group_3","MYC_exp","Male","ATCC",3,-3.772760017,"Semi-Adherent","E10","30.7","CVCL_1155","abdomen","Metastasis","Brain Cancer","Medulloblastoma",6,"SIDM00888","",2.02257894736842
"ACH-000056","DOHH2","DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",906842,"lymphocyte","non_hodgkin_lymphoma","DLBCL","","Male","DSMZ",NA,NA,"","","","CVCL_1179","pleural_effusion","Metastasis","Lymphoma","Diffuse Large B-cell Lymphoma (DLBCL)",60,"SIDM00981","",2.58934210526316
"ACH-000057","OPM1","OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"plasma_cell","multiple_myeloma","","","Female","Academic lab",NA,NA,"","","","CVCL_5210","haematopoietic_and_lymphoid_tissue","","Myeloma","Multiple Myeloma",NA,"SIDM00456","",2.66973684210526
"ACH-000058","ML1","ML1_THYROID","",1240178,"thyroid","thyroid_carcinoma","follicular","","Unknown","DSMZ",NA,NA,"","","","CVCL_H525","thyroid","","Thyroid Cancer","Carcinoma, follicular",NA,"SIDM00442","",4.79847368421053
"ACH-000059","SUPB15","SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1247871,"blood","ALL","b_cell","","Male","ATCC",NA,NA,"","","","CVCL_0103","bone_marrow","Primary","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",9,"SIDM01176","",3.74689473684211
"ACH-000060","PANC1005","PANC1005_PANCREAS","",925348,"pancreas","exocrine","exocrine_adenocarcinoma","","Male","ATCC",2,-3.422633421,"Adherent","RPMI; 15% FBS; 2mM Glutamine; 1.5 g/L Sodium bicarbonate; 4.5g/L glucose; 10mM HEPES; 1mM Sodium Pyruvate; 10 units/mL Insulin","6.8","CVCL_1639","pancreas","Primary","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",56,"SIDM01135","",4.69813157894737
"ACH-000061","HH","HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",907056,"lymphocyte","non_hodgkin_lymphoma","t_cell_cutaneous","","Male","ATCC",NA,NA,"","","","CVCL_1280","haematopoietic_and_lymphoid_tissue","","Lymphoma","T-cell, Non-Hodgkins, Cutaneous",61,"SIDM00671","",3.11160526315789
"ACH-000062","RERFLCMS","RERFLCMS_LUNG","",910931,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","JCRB",NA,NA,"","","","CVCL_1655","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00355","",3.72810526315789
"ACH-000063","HS616T","HS616T_FIBROBLAST","",NA,"fibroblast","fibroblast_lymphocyte","","","Male","",NA,NA,"","","","CVCL_0825","fibroblast","","Fibroblast","Lymphoma",16,"","",3.07271052631579
"ACH-000064","SALE","SALE_LUNG","",NA,"engineered_lung","","","","Unknown","Academic lab",NA,NA,"","","","CVCL_WS60","lung","","Engineered","",NA,"","",4.01568421052632
"ACH-000065","OCIAML5","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1330983,"blood","AML","","","Male","DSMZ",NA,NA,"","","","CVCL_1620","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML)",77,"SIDM00461","",3.59510526315789
"ACH-000066","HCC4006","HCC4006_LUNG","",NA,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",NA,NA,"","","","CVCL_1269","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"","",5.25318421052632
"ACH-000067","HS683","HS683_CENTRAL_NERVOUS_SYSTEM","",1240150,"central_nervous_system","glioma","oligodendroglioma","","Male","ATCC",2,-3.664959709,"Adherent","DMEM; 10% FBS","39.3","CVCL_0844","central_nervous_system","Primary","Brain Cancer","Oligodendroglioma",76,"SIDM00666","",3.85721052631579
"ACH-000068","REC1","REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"lymphocyte","non_hodgkin_lymphoma","b_cell_mantle_cell","","Male","DSMZ",NA,NA,"","","","CVCL_1884","lymph_node","","Lymphoma","B-cell, Non-Hodgkins, Mantle Cell",61,"","",3.41447368421053
"ACH-000069","HS611T","HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"lymphocyte","hodgkin_lymphoma","","","Female","ATCC",NA,NA,"","","","CVCL_0823","haematopoietic_and_lymphoid_tissue","","Lymphoma","B-cell, Hodgkins",48,"","",4.60842105263158
"ACH-000070","697","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",906800,"blood","ALL","b_cell","","Male","DSMZ",2,-3.463143117,"Suspension","RPMI; 20% heat inactive FBS","48","CVCL_0079","bone_marrow","Primary","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",12,"SIDM01076","",3.02839473684211
"ACH-000071","HS706T","HS706T_BONE","",NA,"fibroblast","fibroblast_bone","","","Female","ATCC",NA,NA,"","","","CVCL_0863","fibroblast","","Fibroblast","Bone",16,"","",3.37265789473684
"ACH-000072","MEG01","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",908126,"blood","CML","","","Male","ATCC",NA,NA,"","","","CVCL_0425","bone_marrow","","Leukemia","Chronic Myelogenous Leukemia (CML)",55,"SIDM00526","",3.75834210526316
"ACH-000073","GRANTA519","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1303897,"lymphocyte","non_hodgkin_lymphoma","b_cell_mantle_cell","","Female","DSMZ",NA,NA,"","","","CVCL_1818","haematopoietic_and_lymphoid_tissue","Primary","Lymphoma","B-cell, Non-Hodgkins, Mantle Cell",58,"SIDM01058","",3.99184210526316
"ACH-000074","KU812","KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",907311,"blood","CML","blast_crisis","","Male","ATCC",2,-3.287602523,"","","27.7","CVCL_0379","haematopoietic_and_lymphoid_tissue","","Leukemia","Chronic Myelogenous Leukemia (CML), blast crisis",38,"SIDM00308","",3.27444736842105
"ACH-000075","U87MG","U87MG_CENTRAL_NERVOUS_SYSTEM","",687590,"central_nervous_system","glioma","astrocytoma","","Unknown","ATCC",2,-2.31895816,"Adherent","EMEM; 10% FBS","37.9","CVCL_0022","central_nervous_system","Primary","Brain Cancer","Astrocytoma",44,"SIDM01189","",3.23271052631579
"ACH-000076","NCO2","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","CML","","","Female","HSRRB",2,-3.933579675,"Suspension","RPMI-1640: 90.0%","45","CVCL_3043","haematopoietic_and_lymphoid_tissue","","Leukemia","Chronic Myelogenous Leukemia (CML)",35,"","",3.42110526315789
"ACH-000077","MJ","MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"lymphocyte","non_hodgkin_lymphoma","t_cell_cutaneous","","Male","ATCC",NA,NA,"","","","CVCL_1414","haematopoietic_and_lymphoid_tissue","","Lymphoma","T-cell, Non-Hodgkins, Cutaneous",50,"","",4.80921052631579
"ACH-000078","MHHNB11","MHHNB11_AUTONOMIC_GANGLIA","",908135,"peripheral_nervous_system","neuroblastoma","","MYCN_amp","Male","DSMZ",3,-2.188553988,"Semi-Adherent","RPMI-1640: 10%FBS","39.7","CVCL_1412","autonomic_ganglia","Metastasis","Neuroblastoma","",4,"SIDM00387","",1.7915
"ACH-000079","TE125T","TE125T_FIBROBLAST","",NA,"fibroblast","fibroblast_soft_tissue","","","Female","ATCC",NA,NA,"","","","CVCL_1740","fibroblast","","Fibroblast","Soft tissue",1,"","",3.11871052631579
"ACH-000080","BDCM","BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","AML","M5","","Male","ATCC",0,-1.097521055,"","","","CVCL_4613","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",NA,"","",4.38986842105263
"ACH-000081","GDM1","GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",906870,"blood","AML","","","Female","ATCC",NA,NA,"","","","CVCL_1230","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Myelogenous Leukemia (AML)",66,"SIDM01057","",4.41505263157895
"ACH-000082","G292CLONEA141B1","G292CLONEA141B1_BONE","G292CLONEA141B1, G-292 clone A141B1",1290807,"bone","osteosarcoma","","","Female","ATCC",2,-4.365853783,"Adherent","M10","24.8","CVCL_2909","bone","Primary","Bone Cancer","Osteosarcoma",9,"SIDM00858","",2.16171052631579
"ACH-000083","HS281T","HS281T_FIBROBLAST","",NA,"fibroblast","fibroblast_breast","","","Female","ATCC",NA,NA,"","","","CVCL_0715","fibroblast","","Fibroblast","Breast",37,"","",3.18031578947368
"ACH-000084","MUTZ3","MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MUTZ3",NA,"blood","AML","","","Male","DSMZ",NA,NA,"","","","CVCL_1433","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Myelogenous Leukemia (AML)",29,"","",4.80189473684211
"ACH-000085","T3M4","T3M4_PANCREAS","",NA,"pancreas","exocrine","exocrine_adenocarcinoma","","Male","RIKEN",1,-2.862032623,"Adherent","Ham F-10: 90.0%;10%FBS","7.1","CVCL_4056","lymph_node","Primary","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",64,"","",4.19963157894737
"ACH-000086","ACCMESO1","ACCMESO1_PLEURA","",NA,"lung","mesothelioma","","","Female","RIKEN",2,-4.054069395,"Adherent","R10+Glutamax-1;sodium pyruvate","21.4","CVCL_5113","pleura","","Lung Cancer","Mesothelioma",61,"","",4.24371052631579
"ACH-000087","SKES1","SKES1_BONE","",684072,"bone","Ewing_sarcoma","","EWS_FLI","Male","ATCC",2,-3.08213226,"Semi-Adherent","McCoy's 5A; 15% FBS","42","CVCL_0627","bone","Primary","Bone Cancer","Ewings Sarcoma",18,"SIDM01111","",2.30963157894737
"ACH-000088","HS172T","HS172T_FIBROBLAST","",NA,"fibroblast","fibroblast_urinary_tract","","","Male","ATCC",NA,NA,"","","","CVCL_0660","fibroblast","","Fibroblast","Bladder",50,"","",4.08536842105263
"ACH-000089","NCIH684","NCIH684_LARGE_INTESTINE","",NA,"colorectal","colorectal_adenocarcinoma","","","Male","KCLB",NA,NA,"","","","CVCL_9980","liver","Metastasis","Colon/Colorectal Cancer","Adenocarcinoma",55,"","",5.37671052631579
