CCLE_ID,depMapID,CCLE.hc.msi_del,CCLE.hc.total_del,CCLE.wes.msi_del,CCLE.wes.total_del,CCLE.wgs.msi_del,CCLE.wgs.total_del,GDSC.wes.msi_del,GDSC.wes.total_del,GDSC.msi.call,CCLE.MSI.call
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000981,210,227,3069,3364,NA,NA,3873,4340,MSI-H,inferred-MSI
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000942,163,194,1584,1926,NA,NA,NA,NA,NA,inferred-MSI
SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001203,148,168,1500,1753,NA,NA,2036,2433,MSS/MSI-L,inferred-MSI
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000920,430,461,3298,3645,NA,NA,4610,5108,MSS/MSI-L,inferred-MSI
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000938,452,477,NA,NA,NA,NA,4876,5429,MSI-H,inferred-MSI
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000983,294,321,3190,3489,NA,NA,4270,4716,MSI-H,inferred-MSI
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000995,837,879,4172,4438,NA,NA,5678,6115,MSI-H,inferred-MSI
2313287_STOMACH,ACH-000948,934,970,NA,NA,109859,126284,7505,7931,MSI-H,inferred-MSI
CAL51_BREAST,ACH-000856,392,419,NA,NA,38855,55600,4238,4732,MSS/MSI-L,inferred-MSI
639V_URINARY_TRACT,ACH-000973,186,202,NA,NA,NA,NA,3154,3600,MSS/MSI-L,inferred-MSI
CL34_LARGE_INTESTINE,ACH-000895,504,537,NA,NA,NA,NA,7252,7771,NA,inferred-MSI
SNUC2B_LARGE_INTESTINE,ACH-001199,NA,NA,NA,NA,NA,NA,8946,9562,MSI-H,inferred-MSI
HRT18_LARGE_INTESTINE,ACH-001091,451,488,NA,NA,NA,NA,NA,NA,NA,inferred-MSI
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000964,NA,NA,2210,2503,NA,NA,NA,NA,NA,inferred-MSI
CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-002222,NA,NA,NA,NA,NA,NA,6643,7258,MSI-H,inferred-MSI
MHHPREB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-002272,NA,NA,NA,NA,NA,NA,7432,7906,MSI-H,inferred-MSI
MN60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-002275,NA,NA,NA,NA,NA,NA,3308,3729,MSI-H,inferred-MSI
FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001498,NA,NA,NA,NA,NA,NA,3130,3577,MSS/MSI-L,inferred-MSI
GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-002238,NA,NA,NA,NA,NA,NA,6616,7260,MSI-H,inferred-MSI
KARPAS45_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-002256,NA,NA,NA,NA,NA,NA,3407,3937,MSS/MSI-L,inferred-MSI
P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-002059,NA,NA,NA,NA,NA,NA,4633,5112,MSI-H,inferred-MSI
WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001709,NA,NA,NA,NA,NA,NA,3103,3484,MSI-H,inferred-MSI
OCUBM_BREAST,ACH-002179,NA,NA,NA,NA,NA,NA,2769,3270,MSS/MSI-L,inferred-MSI
GP5D_LARGE_INTESTINE,ACH-001345,NA,NA,NA,NA,NA,NA,9662,10230,MSI-H,inferred-MSI
NCIH630_LARGE_INTESTINE,ACH-002287,NA,NA,NA,NA,NA,NA,5886,6277,MSI-H,inferred-MSI
RCCFG2_KIDNEY,ACH-002189,NA,NA,NA,NA,NA,NA,2273,2719,MSS/MSI-L,inferred-MSI
C33A_CERVIX,ACH-001333,NA,NA,NA,NA,NA,NA,7591,8161,MSI-H,inferred-MSI
HEC1_ENDOMETRIUM,ACH-001517,NA,NA,NA,NA,NA,NA,4908,5493,MSI-H,inferred-MSI
DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-002232,NA,NA,NA,NA,NA,NA,6200,6789,MSI-H,inferred-MSI
CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001738,NA,NA,NA,NA,NA,NA,2954,3496,MSS/MSI-L,inferred-MSI
DMS53_LUNG,ACH-000698,42,62,NA,NA,8665,20097,634,991,MSS/MSI-L,inferred-MSS
SW1116_LARGE_INTESTINE,ACH-000489,32,49,NA,NA,NA,NA,715,1092,MSS/MSI-L,inferred-MSS
NCIH1694_LUNG,ACH-000431,27,40,NA,NA,8599,19299,644,960,MSS/MSI-L,inferred-MSS
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000707,151,220,721,1339,NA,NA,NA,NA,NA,inferred-MSS
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000509,62,93,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
UMUC3_URINARY_TRACT,ACH-000522,46,59,NA,NA,NA,NA,685,1018,MSS/MSI-L,inferred-MSS
HOS_BONE,ACH-000613,45,74,NA,NA,NA,NA,805,1235,MSS/MSI-L,inferred-MSS
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000829,29,47,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000557,75,119,683,1296,NA,NA,NA,NA,NA,inferred-MSS
RVH421_SKIN,ACH-000614,76,102,NA,NA,11157,25479,734,1142,MSS/MSI-L,inferred-MSS
NCIH1184_LUNG,ACH-000523,38,61,276,470,9806,22893,NA,NA,NA,inferred-MSS
HCC2157_BREAST,ACH-000691,91,144,NA,NA,27674,61445,1572,2430,MSS/MSI-L,inferred-MSS
TC71_BONE,ACH-000424,92,124,NA,NA,NA,NA,747,1147,MSS/MSI-L,inferred-MSS
NCIH2227_LUNG,ACH-000610,57,84,NA,NA,8453,19311,781,1181,MSS/MSI-L,inferred-MSS
COLO205_LARGE_INTESTINE,ACH-001039,66,98,NA,NA,NA,NA,693,1020,MSS/MSI-L,inferred-MSS
SNU449_LIVER,ACH-000420,74,117,NA,NA,14282,31471,667,1092,MSS/MSI-L,inferred-MSS
NCIH28_PLEURA,ACH-000648,136,196,NA,NA,NA,NA,1318,2180,MSS/MSI-L,inferred-MSS
OV56_OVARY,ACH-000091,28,37,NA,NA,11455,25727,888,1351,MSS/MSI-L,inferred-MSS
JHOS4_OVARY,ACH-000584,65,88,323,540,NA,NA,743,1160,MSS/MSI-L,inferred-MSS
KYSE450_OESOPHAGUS,ACH-000865,63,91,NA,NA,10880,25293,717,1126,MSS/MSI-L,inferred-MSS
RMUGS_OVARY,ACH-000701,41,65,362,607,NA,NA,NA,NA,NA,inferred-MSS
KLE_ENDOMETRIUM,ACH-000293,57,85,NA,NA,11698,26107,987,1468,MSS/MSI-L,inferred-MSS
HS895T_FIBROBLAST,ACH-000043,39,63,326,586,NA,NA,NA,NA,NA,inferred-MSS
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,40,66,NA,NA,11558,26028,611,955,MSS/MSI-L,inferred-MSS
RKN_SOFT_TISSUE,ACH-000505,51,80,299,515,11030,25718,755,1153,MSS/MSI-L,inferred-MSS
PATU8988S_PANCREAS,ACH-000022,95,144,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
NH6_AUTONOMIC_GANGLIA,ACH-000203,37,62,312,574,NA,NA,NA,NA,NA,inferred-MSS
SF126_CENTRAL_NERVOUS_SYSTEM,ACH-000609,58,78,NA,NA,NA,NA,919,1398,MSS/MSI-L,inferred-MSS
RERFLCAD2_LUNG,ACH-000774,43,73,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
OUMS23_LARGE_INTESTINE,ACH-000296,62,99,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
OUMS27_BONE,ACH-001150,45,60,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
NCIH2347_LUNG,ACH-000875,57,82,NA,NA,NA,NA,1080,1685,MSS/MSI-L,inferred-MSS
SW1990_PANCREAS,ACH-000155,25,41,NA,NA,10447,23517,827,1254,MSS/MSI-L,inferred-MSS
HS940T_FIBROBLAST,ACH-000135,46,73,346,601,NA,NA,610,985,MSS/MSI-L,inferred-MSS
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000069,62,78,356,641,NA,NA,NA,NA,NA,inferred-MSS
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000285,98,141,421,721,NA,NA,NA,NA,NA,inferred-MSS
RERFGC1B_STOMACH,ACH-000144,48,71,NA,NA,11305,25436,732,1177,MSS/MSI-L,inferred-MSS
HT1080_SOFT_TISSUE,ACH-000054,47,75,NA,NA,NA,NA,1084,1663,MSS/MSI-L,inferred-MSS
NCIH2087_LUNG,ACH-000841,49,70,NA,NA,NA,NA,619,935,MSS/MSI-L,inferred-MSS
COV318_OVARY,ACH-000256,52,78,291,502,NA,NA,NA,NA,NA,inferred-MSS
NCIH2085_LUNG,ACH-000451,76,102,NA,NA,NA,NA,628,986,MSS/MSI-L,inferred-MSS
NCIH510_LUNG,ACH-000871,45,71,NA,NA,10491,24953,751,1220,MSS/MSI-L,inferred-MSS
CAKI1_KIDNEY,ACH-000433,46,63,NA,NA,10828,25578,872,1326,MSS/MSI-L,inferred-MSS
NCIH716_LARGE_INTESTINE,ACH-000491,75,120,NA,NA,NA,NA,916,1364,MSS/MSI-L,inferred-MSS
NCIH2066_LUNG,ACH-000727,46,74,NA,NA,8769,19980,669,1046,MSS/MSI-L,inferred-MSS
NCIH1341_LUNG,ACH-000129,41,65,353,619,9885,23247,583,956,MSS/MSI-L,inferred-MSS
NCIH2029_LUNG,ACH-000298,53,79,NA,NA,8974,20933,802,1224,MSS/MSI-L,inferred-MSS
C3A_LIVER,ACH-001021,41,66,NA,NA,NA,NA,534,904,MSS/MSI-L,inferred-MSS
SW480_LARGE_INTESTINE,ACH-000842,31,42,NA,NA,7976,17917,NA,NA,NA,inferred-MSS
HS746T_STOMACH,ACH-000616,65,95,NA,NA,9159,21156,600,940,MSS/MSI-L,inferred-MSS
LU65_LUNG,ACH-000438,82,110,NA,NA,NA,NA,1013,1506,MSS/MSI-L,inferred-MSS
HS739T_FIBROBLAST,ACH-000413,92,151,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
MSTO211H_PLEURA,ACH-000335,47,71,NA,NA,10372,24411,1203,1850,MSS/MSI-L,inferred-MSS
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000654,112,177,NA,NA,NA,NA,1069,1782,MSS/MSI-L,inferred-MSS
SKMEL1_SKIN,ACH-000465,71,99,NA,NA,NA,NA,772,1238,MSS/MSI-L,inferred-MSS
JHH7_LIVER,ACH-000848,65,98,NA,NA,14599,32326,751,1198,MSS/MSI-L,inferred-MSS
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000612,125,196,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
5637_URINARY_TRACT,ACH-000905,110,161,NA,NA,19614,45364,1127,1818,MSS/MSI-L,inferred-MSS
HCC38_BREAST,ACH-000276,38,48,NA,NA,9265,20719,660,990,MSS/MSI-L,inferred-MSS
DU4475_BREAST,ACH-000258,29,53,NA,NA,13103,28860,673,1046,MSS/MSI-L,inferred-MSS
NCIH1573_LUNG,ACH-000916,44,74,NA,NA,NA,NA,688,1118,MSS/MSI-L,inferred-MSS
NCIH508_LARGE_INTESTINE,ACH-000360,30,47,NA,NA,13471,29191,773,1204,MSS/MSI-L,inferred-MSS
NCIH1651_LUNG,ACH-000893,79,106,NA,NA,8479,19745,705,1086,MSS/MSI-L,inferred-MSS
MDAMB175VII_BREAST,ACH-000759,147,217,NA,NA,32340,72680,1526,2528,MSS/MSI-L,inferred-MSS
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000059,54,84,NA,NA,NA,NA,637,996,MSS/MSI-L,inferred-MSS
BECKER_CENTRAL_NERVOUS_SYSTEM,ACH-001016,56,77,NA,NA,NA,NA,790,1247,MSS/MSI-L,inferred-MSS
NCIH226_LUNG,ACH-000367,45,68,NA,NA,11357,25815,659,1051,MSS/MSI-L,inferred-MSS
NCIH1666_LUNG,ACH-000448,91,133,NA,NA,10221,24055,639,983,MSS/MSI-L,inferred-MSS
SW1783_CENTRAL_NERVOUS_SYSTEM,ACH-000883,62,93,NA,NA,12056,26563,699,1066,MSS/MSI-L,inferred-MSS
ISTMES1_PLEURA,ACH-000569,58,83,NA,NA,NA,NA,727,1079,MSS/MSI-L,inferred-MSS
NCIH1734_LUNG,ACH-000675,60,84,NA,NA,NA,NA,724,1126,MSS/MSI-L,inferred-MSS
NCIH2342_LUNG,ACH-000951,64,98,NA,NA,NA,NA,794,1245,MSS/MSI-L,inferred-MSS
EBC1_LUNG,ACH-000563,56,77,NA,NA,12079,26921,603,939,MSS/MSI-L,inferred-MSS
HS936T_SKIN,ACH-000801,60,90,316,527,NA,NA,NA,NA,NA,inferred-MSS
T173_FIBROBLAST,ACH-000529,45,73,312,540,NA,NA,NA,NA,NA,inferred-MSS
NCIH322_LUNG,ACH-000837,74,104,NA,NA,NA,NA,705,1045,MSS/MSI-L,inferred-MSS
HS618T_FIBROBLAST,ACH-000539,59,88,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
HS870T_FIBROBLAST,ACH-000340,71,111,355,632,NA,NA,NA,NA,NA,inferred-MSS
HS706T_BONE,ACH-000071,62,94,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
PANC1_PANCREAS,ACH-000164,76,99,NA,NA,9047,20225,NA,NA,NA,inferred-MSS
NCIH2291_LUNG,ACH-000718,56,84,NA,NA,NA,NA,793,1218,MSS/MSI-L,inferred-MSS
T47D_BREAST,ACH-000147,52,79,NA,NA,9641,21296,642,1031,MSS/MSI-L,inferred-MSS
HS742T_FIBROBLAST,ACH-000230,59,93,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
BICR56_UPPER_AERODIGESTIVE_TRACT,ACH-000771,73,103,349,617,NA,NA,NA,NA,NA,inferred-MSS
BICR16_UPPER_AERODIGESTIVE_TRACT,ACH-000503,55,73,288,465,NA,NA,NA,NA,NA,inferred-MSS
TE10_OESOPHAGUS,ACH-000318,45,59,NA,NA,NA,NA,803,1198,MSS/MSI-L,inferred-MSS
SKMEL28_SKIN,ACH-000615,48,65,NA,NA,NA,NA,686,1049,MSS/MSI-L,inferred-MSS
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,57,74,304,499,NA,NA,NA,NA,NA,inferred-MSS
BHY_UPPER_AERODIGESTIVE_TRACT,ACH-000548,39,63,NA,NA,NA,NA,717,1058,MSS/MSI-L,inferred-MSS
SH4_SKIN,ACH-000441,43,72,NA,NA,NA,NA,717,1121,MSS/MSI-L,inferred-MSS
KPL1_BREAST,ACH-000028,54,83,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
CGTHW1_THYROID,ACH-001023,61,92,NA,NA,NA,NA,786,1174,MSS/MSI-L,inferred-MSS
TUHR4TKB_KIDNEY,ACH-000495,44,76,358,578,NA,NA,NA,NA,NA,inferred-MSS
LS123_LARGE_INTESTINE,ACH-000501,50,75,NA,NA,NA,NA,704,1039,MSS/MSI-L,inferred-MSS
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000004,48,74,NA,NA,NA,NA,797,1241,MSS/MSI-L,inferred-MSS
HPAC_PANCREAS,ACH-000270,84,128,NA,NA,10115,23333,1089,1655,MSS/MSI-L,inferred-MSS
RCC10RGB_KIDNEY,ACH-000189,42,69,NA,NA,NA,NA,798,1255,MSS/MSI-L,inferred-MSS
JHOM1_OVARY,ACH-000237,53,76,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
SU8686_PANCREAS,ACH-000114,30,45,NA,NA,NA,NA,508,821,MSS/MSI-L,inferred-MSS
HCC33_LUNG,ACH-000515,79,120,NA,NA,9799,22914,829,1233,MSS/MSI-L,inferred-MSS
TE6_OESOPHAGUS,ACH-000605,46,79,NA,NA,NA,NA,759,1160,MSS/MSI-L,inferred-MSS
JHOC5_OVARY,ACH-000324,44,62,434,708,NA,NA,NA,NA,NA,inferred-MSS
ACCMESO1_PLEURA,ACH-000086,38,49,256,381,NA,NA,NA,NA,NA,inferred-MSS
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000245,41,72,323,598,NA,NA,659,1066,MSS/MSI-L,inferred-MSS
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,66,94,340,622,NA,NA,NA,NA,NA,inferred-MSS
CORL105_LUNG,ACH-000161,60,91,NA,NA,NA,NA,799,1255,MSS/MSI-L,inferred-MSS
LMSU_STOMACH,ACH-000255,49,81,367,602,NA,NA,NA,NA,NA,inferred-MSS
SNU1197_LARGE_INTESTINE,ACH-000412,54,76,237,455,NA,NA,NA,NA,NA,inferred-MSS
COLO668_LUNG,ACH-000803,20,26,NA,NA,10276,24117,786,1249,MSS/MSI-L,inferred-MSS
OSRC2_KIDNEY,ACH-000159,22,40,NA,NA,12858,28166,749,1151,MSS/MSI-L,inferred-MSS
HUH6_LIVER,ACH-000671,48,76,389,673,NA,NA,NA,NA,NA,inferred-MSS
PANC0203_PANCREAS,ACH-000042,49,84,312,579,NA,NA,586,963,MSS/MSI-L,inferred-MSS
CJM_SKIN,ACH-000458,52,80,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
BICR22_UPPER_AERODIGESTIVE_TRACT,ACH-000794,76,107,NA,NA,NA,NA,645,965,MSS/MSI-L,inferred-MSS
SHSY5Y_AUTONOMIC_GANGLIA,ACH-001188,30,48,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
TM31_CENTRAL_NERVOUS_SYSTEM,ACH-000592,36,58,372,632,NA,NA,NA,NA,NA,inferred-MSS
SNU1272_KIDNEY,ACH-000513,54,79,308,568,NA,NA,NA,NA,NA,inferred-MSS
KPNRTBM1_AUTONOMIC_GANGLIA,ACH-000345,107,158,421,731,NA,NA,891,1387,MSS/MSI-L,inferred-MSS
BICR18_UPPER_AERODIGESTIVE_TRACT,ACH-000992,66,123,372,663,NA,NA,NA,NA,NA,inferred-MSS
TE4_OESOPHAGUS,ACH-000917,55,75,NA,NA,NA,NA,996,1468,MSS/MSI-L,inferred-MSS
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001162,79,110,358,633,NA,NA,NA,NA,NA,inferred-MSS
ECC10_STOMACH,ACH-000560,60,83,NA,NA,NA,NA,970,1475,MSS/MSI-L,inferred-MSS
TUHR14TKB_KIDNEY,ACH-000317,56,87,314,576,NA,NA,NA,NA,NA,inferred-MSS
YD15_SALIVARY_GLAND,ACH-000836,64,102,NA,NA,NA,NA,NA,NA,NA,inferred-MSS
UBLC1_URINARY_TRACT,ACH-000741,29,43,202,350,NA,NA,NA,NA,NA,inferred-MSS
